service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
m1,1,1,1,1,1,1,1,20170101,20240101
m2,1,1,1,1,1,1,1,20170101,20240101
m3,1,1,1,1,1,1,1,20170101,20240101
m4,1,1,1,1,1,1,1,20170101,20240101
m186,1,1,1,1,1,1,1,20170101,20240101
m187,1,1,1,1,1,1,1,20170101,20240101
m188,1,1,1,1,1,1,1,20170101,20240101
m189,1,1,1,1,1,1,1,20170101,20240101
m190,1,1,1,1,1,1,1,20170101,20240101
m191,1,1,1,1,1,1,1,20170101,20240101
m192,1,1,1,1,1,1,1,20170101,20240101
m193,1,1,1,1,1,1,1,20170101,20240101
m194,1,1,1,1,1,1,1,20170101,20240101
m195,1,1,1,1,1,1,1,20170101,20240101
m196,1,1,1,1,1,1,1,20170101,20240101
m197,1,1,1,1,1,1,1,20170101,20240101
m198,1,1,1,1,1,1,1,20170101,20240101
m199,1,1,1,1,1,1,1,20170101,20240101
m200,1,1,1,1,1,1,1,20170101,20240101
m201,1,1,1,1,1,1,1,20170101,20240101
m202,1,1,1,1,1,1,1,20170101,20240101
m203,1,1,1,1,1,1,1,20170101,20240101
m204,1,1,1,1,1,1,1,20170101,20240101
m205,1,1,1,1,1,1,1,20170101,20240101
m206,1,1,1,1,1,1,1,20170101,20240101
m207,1,1,1,1,1,1,1,20170101,20240101
m208,1,1,1,1,1,1,1,20170101,20240101
m209,1,1,1,1,1,1,1,20170101,20240101
m210,1,1,1,1,1,1,1,20170101,20240101
m211,1,1,1,1,1,1,1,20170101,20240101
m212,1,1,1,1,1,1,1,20170101,20240101
m213,1,1,1,1,1,1,1,20170101,20240101
m214,1,1,1,1,1,1,1,20170101,20240101
m215,1,1,1,1,1,1,1,20170101,20240101
m216,1,1,1,1,1,1,1,20170101,20240101
m217,1,1,1,1,1,1,1,20170101,20240101
m218,1,1,1,1,1,1,1,20170101,20240101
m219,1,1,1,1,1,1,1,20170101,20240101
m220,1,1,1,1,1,1,1,20170101,20240101
m221,1,1,1,1,1,1,1,20170101,20240101
m222,1,1,1,1,1,1,1,20170101,20240101
m223,1,1,1,1,1,1,1,20170101,20240101
m224,1,1,1,1,1,1,1,20170101,20240101
m225,1,1,1,1,1,1,1,20170101,20240101
m226,1,1,1,1,1,1,1,20170101,20240101
m227,1,1,1,1,1,1,1,20170101,20240101
m228,1,1,1,1,1,1,1,20170101,20240101
m229,1,1,1,1,1,1,1,20170101,20240101
m230,1,1,1,1,1,1,1,20170101,20240101
m231,1,1,1,1,1,1,1,20170101,20240101
m232,1,1,1,1,1,1,1,20170101,20240101
m233,1,1,1,1,1,1,1,20170101,20240101
m234,1,1,1,1,1,1,1,20170101,20240101
m235,1,1,1,1,1,1,1,20170101,20240101
m236,1,1,1,1,1,1,1,20170101,20240101
m237,1,1,1,1,1,1,1,20170101,20240101
m238,1,1,1,1,1,1,1,20170101,20240101
m239,1,1,1,1,1,1,1,20170101,20240101
m240,1,1,1,1,1,1,1,20170101,20240101
m241,1,1,1,1,1,1,1,20170101,20240101
m242,1,1,1,1,1,1,1,20170101,20240101
m243,1,1,1,1,1,1,1,20170101,20240101
m244,1,1,1,1,1,1,1,20170101,20240101
m245,1,1,1,1,1,1,1,20170101,20240101
m246,1,1,1,1,1,1,1,20170101,20240101
m247,1,1,1,1,1,1,1,20170101,20240101
m248,1,1,1,1,1,1,1,20170101,20240101
m249,1,1,1,1,1,1,1,20170101,20240101
m250,1,1,1,1,1,1,1,20170101,20240101
m251,1,1,1,1,1,1,1,20170101,20240101
m252,1,1,1,1,1,1,1,20170101,20240101
m253,1,1,1,1,1,1,1,20170101,20240101
m254,1,1,1,1,1,1,1,20170101,20240101
m255,1,1,1,1,1,1,1,20170101,20240101
m256,1,1,1,1,1,1,1,20170101,20240101
m257,1,1,1,1,1,1,1,20170101,20240101
m258,1,1,1,1,1,1,1,20170101,20240101
m259,1,1,1,1,1,1,1,20170101,20240101
m260,1,1,1,1,1,1,1,20170101,20240101
m261,1,1,1,1,1,1,1,20170101,20240101
m262,1,1,1,1,1,1,1,20170101,20240101
m263,1,1,1,1,1,1,1,20170101,20240101
m264,1,1,1,1,1,1,1,20170101,20240101
m265,1,1,1,1,1,1,1,20170101,20240101
m266,1,1,1,1,1,1,1,20170101,20240101
m267,1,1,1,1,1,1,1,20170101,20240101
m268,1,1,1,1,1,1,1,20170101,20240101
m269,1,1,1,1,1,1,1,20170101,20240101
m270,1,1,1,1,1,1,1,20170101,20240101
m271,1,1,1,1,1,1,1,20170101,20240101
m272,1,1,1,1,1,1,1,20170101,20240101
m273,1,1,1,1,1,1,1,20170101,20240101
m274,1,1,1,1,1,1,1,20170101,20240101
m275,1,1,1,1,1,1,1,20170101,20240101
m276,1,1,1,1,1,1,1,20170101,20240101
m277,1,1,1,1,1,1,1,20170101,20240101
m278,1,1,1,1,1,1,1,20170101,20240101
m279,1,1,1,1,1,1,1,20170101,20240101
m280,1,1,1,1,1,1,1,20170101,20240101
m281,1,1,1,1,1,1,1,20170101,20240101
m282,1,1,1,1,1,1,1,20170101,20240101
