trip_id,start_time,end_time,headway_secs,exact_times
m1,05:30:00,07:00:00,300,0
m1,07:00:00,20:00:00,240,0
m1,20:00:00,23:10:00,480,0
m2,06:00:00,22:00:00,240,0
m3,06:00:00,23:00:00,240,0
m4,05:30:00,07:00:00,300,0
m4,07:00:00,20:00:00,240,0
m4,20:00:00,23:10:00,480,0
m186,07:00:00,23:00:00,420,0
m187,07:00:00,23:00:00,420,0
m188,07:00:00,23:00:00,420,0
m189,07:00:00,23:00:00,420,0
m190,07:00:00,23:00:00,420,0
m191,07:00:00,23:00:00,420,0
m192,07:00:00,23:00:00,420,0
m193,07:00:00,23:00:00,420,0
m194,07:00:00,23:00:00,420,0
m195,07:00:00,23:00:00,420,0
m196,07:00:00,23:00:00,420,0
m197,07:00:00,23:00:00,420,0
m198,07:00:00,23:00:00,420,0
m199,07:00:00,23:00:00,420,0
m200,07:00:00,23:00:00,420,0
m201,07:00:00,23:00:00,420,0
m202,07:00:00,23:00:00,420,0
m203,07:00:00,23:00:00,420,0
m204,07:00:00,23:00:00,420,0
m205,07:00:00,23:00:00,420,0
m206,07:00:00,23:00:00,420,0
m207,07:00:00,23:00:00,420,0
m208,07:00:00,23:00:00,420,0
m209,07:00:00,23:00:00,420,0
m210,07:00:00,23:00:00,420,0
m211,07:00:00,23:00:00,420,0
m212,07:00:00,23:00:00,420,0
m213,07:00:00,23:00:00,420,0
m214,07:00:00,23:00:00,420,0
m215,07:00:00,23:00:00,420,0
m216,07:00:00,23:00:00,420,0
m217,07:00:00,23:00:00,420,0
m218,07:00:00,23:00:00,420,0
m219,07:00:00,23:00:00,420,0
m220,07:00:00,23:00:00,420,0
m221,07:00:00,23:00:00,420,0
m222,07:00:00,23:00:00,420,0
m223,07:00:00,23:00:00,420,0
m224,07:00:00,23:00:00,420,0
m225,07:00:00,23:00:00,420,0
m226,07:00:00,23:00:00,420,0
m227,07:00:00,23:00:00,420,0
m228,07:00:00,23:00:00,420,0
m229,07:00:00,23:00:00,420,0
m230,07:00:00,23:00:00,420,0
m231,07:00:00,23:00:00,420,0
m232,07:00:00,23:00:00,420,0
m233,07:00:00,23:00:00,420,0
m234,07:00:00,23:00:00,420,0
m235,07:00:00,23:00:00,420,0
m236,07:00:00,23:00:00,420,0
m237,07:00:00,23:00:00,420,0
m238,07:00:00,23:00:00,420,0
m239,07:00:00,23:00:00,420,0
m240,07:00:00,23:00:00,420,0
m241,07:00:00,23:00:00,420,0
m242,07:00:00,23:00:00,420,0
m243,07:00:00,23:00:00,420,0
m244,07:00:00,23:00:00,420,0
m245,07:00:00,23:00:00,420,0
m246,07:00:00,23:00:00,420,0
m247,07:00:00,23:00:00,420,0
m248,07:00:00,23:00:00,420,0
m249,07:00:00,23:00:00,420,0
m250,07:00:00,23:00:00,420,0
m251,07:00:00,23:00:00,420,0
m252,07:00:00,23:00:00,420,0
m253,07:00:00,23:00:00,420,0
m254,07:00:00,23:00:00,420,0
m255,07:00:00,23:00:00,420,0
m256,07:00:00,23:00:00,420,0
m257,07:00:00,23:00:00,420,0
m258,07:00:00,23:00:00,420,0
m259,07:00:00,23:00:00,420,0
m260,07:00:00,23:00:00,420,0
m261,07:00:00,23:00:00,420,0
m262,07:00:00,23:00:00,420,0
m263,07:00:00,23:00:00,420,0
m264,07:00:00,23:00:00,420,0
m265,07:00:00,23:00:00,420,0
m266,07:00:00,23:00:00,420,0
m267,07:00:00,23:00:00,420,0
m268,07:00:00,23:00:00,420,0
m269,07:00:00,23:00:00,420,0
m270,07:00:00,23:00:00,420,0
m271,07:00:00,23:00:00,420,0
m272,07:00:00,23:00:00,420,0
m273,07:00:00,23:00:00,420,0
m274,07:00:00,23:00:00,420,0
m275,07:00:00,23:00:00,420,0
m276,07:00:00,23:00:00,420,0
m277,07:00:00,23:00:00,420,0
m278,07:00:00,23:00:00,420,0
m279,07:00:00,23:00:00,420,0
m280,07:00:00,23:00:00,420,0
m281,07:00:00,23:00:00,420,0
m282,07:00:00,23:00:00,420,0
m283,07:00:00,23:00:00,420,0
m284,07:00:00,23:00:00,420,0
m285,07:00:00,23:00:00,420,0
m286,07:00:00,23:00:00,420,0
m287,07:00:00,23:00:00,420,0
m288,07:00:00,23:00:00,420,0
m289,07:00:00,23:00:00,420,0
m290,07:00:00,23:00:00,420,0
m291,07:00:00,23:00:00,420,0
m292,07:00:00,23:00:00,420,0
m293,07:00:00,23:00:00,420,0
m294,07:00:00,23:00:00,420,0
m295,07:00:00,23:00:00,420,0
m296,07:00:00,23:00:00,420,0
m297,07:00:00,23:00:00,420,0
m298,07:00:00,23:00:00,420,0
m299,07:00:00,23:00:00,420,0
m300,07:00:00,23:00:00,420,0
m301,07:00:00,23:00:00,420,0
m302,07:00:00,23:00:00,420,0
m303,07:00:00,23:00:00,420,0
m304,07:00:00,23:00:00,420,0
m305,07:00:00,23:00:00,420,0
m306,07:00:00,23:00:00,420,0
m307,07:00:00,23:00:00,420,0
m308,07:00:00,23:00:00,420,0
m309,07:00:00,23:00:00,420,0
m310,07:00:00,23:00:00,420,0
m311,07:00:00,23:00:00,420,0
m312,07:00:00,23:00:00,420,0
m313,07:00:00,23:00:00,420,0
m314,07:00:00,23:00:00,420,0
m315,07:00:00,23:00:00,420,0
m316,07:00:00,23:00:00,420,0
m317,07:00:00,23:00:00,420,0
m318,07:00:00,20:00:00,300,0
m319,07:00:00,20:00:00,300,0
