trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
m1,0:02:00,0:03:00,2,0,0
m1,0:04:00,0:05:00,3,1,0
m1,0:06:00,0:07:00,4,2,0
m1,0:08:00,0:09:00,5,3,0
m1,0:10:00,0:11:00,6,4,0
m1,0:12:00,0:13:00,7,5,0
m1,0:14:00,0:15:00,48,6,0
m1,0:16:00,0:17:00,49,7,0
m1,0:18:00,0:19:00,50,8,0
m1,0:20:00,0:21:00,51,9,0
m1,0:22:00,0:23:00,52,10,0
m1,0:24:00,0:25:00,53,11,0
m1,0:26:00,0:27:00,54,12,0
m1,0:28:00,0:29:00,55,13,0
m1,0:30:00,0:31:00,56,14,0
m1,0:32:00,0:33:00,57,15,0
m1,0:34:00,0:35:00,58,16,0
m1,0:36:00,0:37:00,59,17,0
m1,0:38:00,0:39:00,60,18,0
m1,0:40:00,0:41:00,61,19,0
m1,0:42:00,0:43:00,62,20,0
m1,0:44:00,0:45:00,63,21,0
m1,0:46:00,0:47:00,64,22,0
m1,0:48:00,0:49:00,65,23,0
m1,0:50:00,0:51:00,66,24,0
m1,0:52:00,0:53:00,67,25,0
m1,0:54:00,0:55:00,68,26,0
m1,0:56:00,0:57:00,69,27,0
m1,0:58:00,0:59:00,70,28,0
m1,1:00:00,1:01:00,71,29,0
m1,1:02:00,1:03:00,72,30,0
m1,1:04:00,1:05:00,73,31,0
m1,1:06:00,1:07:00,74,32,0
m1,1:08:00,1:09:00,75,33,0
m1,1:10:00,1:11:00,76,34,0
m2,0:00:00,0:01:00,105,0,0
m2,0:02:00,0:03:00,106,1,0
m2,0:04:00,0:05:00,107,2,0
m2,0:06:00,0:07:00,108,3,0
m2,0:08:00,0:09:00,109,4,0
m2,0:10:00,0:11:00,110,5,0
m2,0:12:00,0:13:00,111,6,0
m2,0:14:00,0:15:00,112,7,0
m2,0:16:00,0:17:00,113,8,0
m2,0:18:00,0:19:00,114,9,0
m2,0:20:00,0:21:00,115,10,0
m2,0:22:00,0:23:00,116,11,0
m2,0:24:00,0:25:00,117,12,0
m2,0:26:00,0:27:00,118,13,0
m3,0:00:00,0:01:00,118,0,0
m3,0:02:00,0:03:00,117,1,0
m3,0:04:00,0:05:00,116,2,0
m3,0:06:00,0:07:00,115,3,0
m3,0:08:00,0:09:00,114,4,0
m3,0:10:00,0:11:00,113,5,0
m3,0:12:00,0:13:00,112,6,0
m3,0:14:00,0:15:00,111,7,0
m3,0:16:00,0:17:00,110,8,0
m3,0:18:00,0:19:00,109,9,0
m3,0:20:00,0:21:00,108,10,0
m3,0:22:00,0:23:00,107,11,0
m3,0:24:00,0:25:00,106,12,0
m3,0:26:00,0:27:00,105,13,0
m4,0:00:00,0:01:00,76,0,0
m4,0:02:00,0:03:00,75,1,0
m4,0:04:00,0:05:00,74,2,0
m4,0:06:00,0:07:00,73,3,0
m4,0:08:00,0:09:00,72,4,0
m4,0:10:00,0:11:00,71,5,0
m4,0:12:00,0:13:00,70,6,0
m4,0:14:00,0:15:00,69,7,0
m4,0:16:00,0:17:00,68,8,0
m4,0:18:00,0:19:00,67,9,0
m4,0:20:00,0:21:00,66,10,0
m4,0:22:00,0:23:00,65,11,0
m4,0:24:00,0:25:00,64,12,0
m4,0:26:00,0:27:00,63,13,0
m4,0:28:00,0:29:00,62,14,0
m4,0:30:00,0:31:00,61,15,0
m4,0:32:00,0:33:00,60,16,0
m4,0:34:00,0:35:00,59,17,0
m4,0:36:00,0:37:00,58,18,0
m4,0:38:00,0:39:00,57,19,0
m4,0:40:00,0:41:00,56,20,0
m4,0:42:00,0:43:00,55,21,0
m4,0:44:00,0:45:00,54,22,0
m4,0:46:00,0:47:00,53,23,0
m4,0:48:00,0:49:00,52,24,0
m4,0:50:00,0:51:00,51,25,0
m4,0:52:00,0:53:00,50,26,0
m4,0:54:00,0:55:00,49,27,0
m4,0:56:00,0:57:00,48,28,0
m4,0:58:00,0:59:00,7,29,0
m4,1:00:00,1:01:00,6,30,0
m4,1:02:00,1:03:00,5,31,0
m4,1:04:00,1:05:00,4,32,0
m4,1:06:00,1:07:00,3,33,0
m4,1:08:00,1:09:00,2,34,0
m17,0:00:00,0:01:00,275,0,0
m17,0:05:00,0:06:00,276,1,0
m17,0:00:00,0:01:00,276,2,0
m17,0:05:00,0:06:00,275,3,0
m18,0:00:00,0:01:00,277,0,0
m18,0:05:00,0:06:00,278,1,0
m18,0:00:00,0:01:00,278,2,0
m18,0:05:00,0:06:00,277,3,0
m186,0:00:00,0:01:00,307,0,0
m186,0:02:00,0:03:00,308,1,0
m186,0:03:00,0:04:00,309,2,0
m186,0:04:00,0:05:00,310,3,0
m186,0:05:00,0:06:00,311,4,0
m186,0:06:00,0:07:00,312,5,0
m186,0:10:00,0:11:00,313,6,0
m186,0:12:00,0:13:00,314,7,0
m186,0:14:00,0:15:00,315,8,0
m186,0:16:00,0:17:00,316,9,0
m186,0:17:00,0:18:00,317,10,0
m186,0:19:00,0:20:00,318,11,0
m186,0:20:00,0:21:00,319,12,0
m186,0:22:00,0:23:00,320,13,0
m186,0:24:00,0:25:00,321,14,0
m186,0:25:00,0:26:00,322,15,0
m186,0:26:00,0:27:00,323,16,0
m186,0:27:00,0:28:00,324,17,0
m186,0:31:00,0:32:00,325,18,0
m186,0:33:00,0:34:00,326,19,0
m187,0:00:00,0:01:00,326,0,0
m187,0:04:00,0:05:00,327,1,0
m187,0:05:00,0:06:00,328,2,0
m187,0:06:00,0:07:00,329,3,0
m187,0:11:00,0:12:00,330,4,0
m187,0:12:00,0:13:00,331,5,0
m187,0:17:00,0:18:00,308,6,0
m187,0:19:00,0:20:00,307,7,0
m188,0:00:00,0:01:00,332,0,0
m188,0:04:00,0:05:00,333,1,0
m188,0:06:00,0:07:00,334,2,0
m188,0:09:00,0:10:00,335,3,0
m188,0:13:00,0:14:00,336,4,0
m188,0:16:00,0:17:00,337,5,0
m188,0:18:00,0:19:00,338,6,0
m188,0:19:00,0:20:00,339,7,0
m188,0:22:00,0:23:00,340,8,0
m188,0:23:00,0:24:00,341,9,0
m188,0:24:00,0:25:00,342,10,0
m188,0:26:00,0:27:00,343,11,0
m188,0:30:00,0:31:00,344,12,0
m188,0:33:00,0:34:00,345,13,0
m188,0:36:00,0:37:00,346,14,0
m189,0:00:00,0:01:00,346,0,0
m189,0:03:00,0:04:00,345,1,0
m189,0:06:00,0:07:00,344,2,0
m189,0:10:00,0:11:00,343,3,0
m189,0:12:00,0:13:00,347,4,0
m189,0:14:00,0:15:00,341,5,0
