stop_id,stop_name,stop_lat,stop_lon
2,Dergana Centre,36.77199,3.260315
3,Dergana Cité,36.773961,3.259298
4,Faculté biomédicale,36.777772,3.25884
5,Café chergui,36.7777471,3.249943
6,Benzerga,36.773063,3.245112
7,Sidi Dris,36.766211,3.238533
48,Ben Mered,36.759118,3.229571
49,Ben Redaoune,36.759118,3.229571
50,Ben Merabet,36.750583,3.213116
51,Mimouni hamoud,36.750382,3.211906
52,Bordj El Kiffan Polyclinique,36.748222,3.197106
53,Bordj El Kiffan Centre,36.747036,3.190897
54,Claire Martin,36.74105,3.18613
55,Cité 08 Mai 1945,36.737422,3.184937
56,Cité universitaire CUB1,36.732166,3.184052
57,Bab Ezzouar le pont,36.724031,3.1848863
58,Cité 5 juillet,36.721527,3.182818
59,Université Bab ezzouar,36.720725,3.179634
60,Cité rabia,36.724481,3.176971
61,Cité Zerhouni Mokhtar,36.72855,3.174329
62,Tamaris,36.732607,3.173529
63,Les Pins,36.732256,3.167156
64,Palais des expositions,36.73131,3.161363
65,Cinq Maisons,36.725915,3.150849
66,Bekri Bouguerra,36.727873,3.143483
67,Bellevue,36.729573,3.136212
68,Pont El-Harrach,36.730339,3.13011
69,La Glaciere,36.732779,3.124732
70,Caroubier,36.735749,3.118233
71,Tripoli Maqqaria,36.737131,3.11366
72,Tripoli Hamadache,36.74077,3.104057
73,Tripoli Mosquée,36.743262,3.097483
74,Tripoli Thaalibia,36.745228,3.092358
75,Les fusillés,36.746011,3.08683
76,Ruisseau,36.742879,3.083488
105,Tafourah,36.771853,3.058093
106,Khelifa Boukhalfa,36.766325,3.053662
107,1er Mai,36.7605577,3.0553137
108,Aissat Idir,36.75684,3.06195
109,Hamma,36.75289,3.06659
110,Jardin d'essai,36.7468555,3.0721795
111,Fusillés,36.742299,3.0829941
112,Cité Amirouche,36.7378282,3.0942165
113,Cité Mer et Soleil,36.7332024,3.1010186
114,Hai El Badr,36.7253775,3.1022417
115,Bachdjarah - Tennis,36.71827,3.11044
116,Bachdjarah,36.72206,3.11806
117,El Harrach Gare,36.72193,3.13093
118,El Harrach Centre,36.72198,3.13766
119,Alger,36.779452,3.062043
224,Agha,36.767882,3.057189
225,Les ateliers,36.756416,3.065739
226,Hussein Day,36.745402,3.094367
227,Caroubier,36.735343,3.119351
228,El Harrach,36.722094,3.132406
229,Oued Semmar,36.703835,3.171869
230,Bab Ezzouar,36.70702,3.186222
231,Dar El Baida,36.714617,3.210804
232,Rouiba,36.734187,3.28287
233,Rouiba zone industrielle,36.733282,3.301653
234,Rouiba SNVI,36.733815,3.3178
235,Reghaia industrielle,36.735549,3.329048
236,Reghaia,36.735453,3.340685
237,Boudouaou,36.740326,3.41282
238,Corso,36.753775,3.435522
239,Boumerdes,36.753262,3.474178
240,Tidjelabine,36.731353,3.501011
241,Thenia,36.725248,3.552995
242,Si Mustapha,36.722109,3.62458
243,Les issers,36.729649,3.664932
244,Bordj Menaiel,36.753567,3.719836
245,Naciria,36.75153,3.826148
246,Tadmait,36.742286,3.899754
247,Draa Ben Khedda,36.741299,3.956587
248,Boukhalfa,36.732516,4.017918
249,Tizi Ouzou,36.709736,4.034588
250,Gué de Cne,36.696751,3.095281
251,Ain Naadja,36.689415,3.078979
252,Baba Ali,36.6668,3.051859
253,Birtouta,36.630794,3.009652
254,Boufarik,36.567016,2.914264
255,B.Mered,36.520241,2.85948
256,Blida,36.478548,2.815991
257,Chiffa,36.464812,2.74002
258,Mouzaia,36.470488,2.692446
259,El Affroun,36.473659,2.625267
260,Tessala El Merdja,36.63967,2.935242
261,Sidi Abde allah,36.680243,2.892091
262,Sidi Abde allah U,36.692138,2.8714
263,Zéralda,36.702356,2.849293
275,Station Téléphérique Belouizdad,36.749575,3.066783
276,Station Téléphérique El Madania Belouizdad,36.747705,3.065463
277,Station de téléphérique ouedkniss,36.742415,3.083171
278,Station de téléphérique les annassers,36.740427,3.082202
279,Station de téléphérique jardin d'essai,36.746105,3.073231
280,Station de téléphérique Maqam Chachid,36.744409,3.071844
281,Station de téléphérique Bouzareah,36.791322,3.020885
282,Station de téléphérique Frais Vallon,36.780988,3.032703
283,Station de téléphérique Triolet,36.788367,3.044824
307,EL HARRACH	,36.721355,3.1360094
308,GARE SNTF EL HARRACH	,36.7218992,3.1331517
309,CRESSONIERE	,36.7260644,3.1302179
310,DIAR DJEMAA	,36.7294169,3.1281141
311,LA GLACIERE	,36.7324882,3.1243118
312,CAROUBIER GARE SNTF	,36.7344828,3.1203783
313,LOTISSEMENT MICHEL	,36.72097,3.1020652
314,STATION HAI EL BADR	,36.7250452,3.101879
315,CITE MAYA	,36.730138,3.1030479
316,PARNET	,36.7331593,3.1036551
317,CITE MER ET SOLEIL	,36.7339861,3.100016
318,CITE AMIROUCHE	,36.7379495,3.0945195
319,RESIDENCE	,36.7398405,3.0915287
320,CHEMIN FERNANE HANAFI (VAUBON)	,36.7427591,3.0861837
321,HAMOUD BOUALEM	,36.7475841,3.0852115
322,JARDIN D'ESSAI	,36.7508246,3.0766065
323,LES ATELIERS	,36.7521108,3.0707074
324,LES HALLES	,36.7551683,3.0663497
325,PLACE 1 MAI	,36.759968,3.0571436
326,PLACE AISSAT IDIR	,36.7571851,3.0613367
327,PONT DES FUSILLES - AVENUE ALN -	,36.7473513,3.0890451
328,HUSSEIN DEY - AVENUE ALN -	,36.7446262,3.0981886
329,CAROUBIER - GARE ROUTIERE -	,36.7433683,3.1036019
330,CAROUBIER - CENTRE EQUESTRE - 	,36.7357916,3.1193718
331,BEL AIR - LA GLACIERE -	,36.7337353,3.1237822
332,CHEVALLEY	,36.7691692,3.0098036
333,CERCLE NATIONAL DE L'ARMEE - 1 -	,36.7701362,2.9933829
334,CERCLE NATIONAL DE L'ARMEE - 2 -	,36.7691259,2.9839561
335,CHERAGA - HÔTEL DAR DIAF -	,36.7717609,2.9654587
336,CHERAGA GARE ROUTIERE	,36.7665614,2.951713
337,SOUK EL FELLAH	,36.7663583,2.9432828
338,EL KARIA ( LES DUNES)	,36.7575116,2.9335248
339,EL KERMA	,36.7546382,2.9308608
340,BOUCHAOUI CNR	,36.744826,2.9152665
341,BOUCHAOUI ECOLE MOULOUD FERAOUN	,36.7437889,2.9144275
342,SORTIE BOUCHAOUI	,36.7371461,2.9147378
343,HOTEL LE BEAU FAYET 	,36.7329167,2.923723
344,CITE SOUIDANI BOUDJEMAA  	,36.720465,2.9145642
345,LA COTE BLANCHE	,36.7131499,2.907397
346,SOUIDANIA	,36.7087964,2.9108368
347,ENTREE BOUCHAOUI	,36.7369867,2.9146165
348,PLACE  DU 1 ER MAI  	,36.7601866,3.0574421
349,MUSSET	,36.7550435,3.0599063
350,PLACE 11 DECEMBRE 1960	,36.7524061,3.0623282
351,SIDI M'HAMED	,36.623037279,2.958056844
352,EL ANASSER	,36.7438289,3.0789059
353,OUED KENIS	,36.7408294,3.0846465
354,OASIS	,36.7390874,3.0882765
355,CALVAIRE	,36.7371897,3.0912521
356,APC KOUBA	,36.734079,3.0867072
357,BEN OMAR	,36.7290088,3.0897786
358,EL ANASSER STATION MULTIMODALES	,36.7427551,3.0830349
359,HAMOUD BOUELAM	,36.7475547,3.0853121
360,LES ATELIERS - AVENUE ALN -	,36.7573153,3.0651246
361,STATION 2 MAI	,36.7650705,3.0582885
362,GRANDE POSTE	,36.7739332,3.0600479
363,HOTEL EL SAFIR	,36.7778454,3.0604291
364,PORT SAID	,36.7802046,3.0613403
365,PLACE DES MARTYRS  	,36.7853723,3.0633367
366,HOTEL ES-SAFIR	,36.7779249,3.0603677
367,MAURETANIA	,36.7726745,3.0604764
368,MOULIN	,36.7643897,3.0559046
369,BEA (PLACE 11 DECEMBRE 1960 )	,36.7524061,3.0623282
371,OUED KNIS	,36.7408294,3.0846465
372,SIEGE APC KOUBA	,36.734079,3.0867072
373,LA CROIX	,36.7303333,3.084494
374,FRERES EL SELAMI	,36.7293407,3.0798477
375,VIEUX KOUBA	,36.7298054,3.0752825
376,ARRÊT PORT D'ALGER	,36.7739997,3.0617251
