route_id,service_id,trip_id
1,m1,m1
2,m2,m2
2,m3,m3
1,m4,m4
6,m17,m17
7,m18,m18
34,m186,m186
34,m187,m187
35,m188,m188
35,m189,m189
36,m190,m190
36,m191,m191
37,m192,m192
37,m193,m193
38,m194,m194
38,m195,m195
39,m196,m196
39,m197,m197
40,m198,m198
40,m199,m199
41,m200,m200
41,m201,m201
42,m202,m202
42,m203,m203
43,m204,m204
43,m205,m205
44,m206,m206
44,m207,m207
45,m208,m208
45,m209,m209
46,m210,m210
46,m211,m211
47,m212,m212
47,m213,m213
48,m214,m214
48,m215,m215
50,m216,m216
50,m217,m217
51,m218,m218
51,m219,m219
52,m220,m220
52,m221,m221
53,m222,m222
53,m223,m223
55,m224,m224
55,m225,m225
56,m226,m226
56,m227,m227
57,m228,m228
57,m229,m229
58,m230,m230
58,m231,m231
59,m232,m232
59,m233,m233
60,m234,m234
60,m235,m235
61,m236,m236
61,m237,m237
62,m238,m238
62,m239,m239
63,m240,m240
63,m241,m241
64,m242,m242
64,m243,m243
65,m244,m244
65,m245,m245
66,m246,m246
66,m247,m247
67,m248,m248
67,m249,m249
68,m250,m250
68,m251,m251
69,m252,m252
69,m253,m253
70,m254,m254
70,m255,m255
71,m256,m256
71,m257,m257
72,m258,m258
72,m259,m259
73,m260,m260
73,m261,m261
74,m262,m262
74,m263,m263
75,m264,m264
75,m265,m265
76,m266,m266
76,m267,m267
77,m268,m268
77,m269,m269
78,m270,m270
78,m271,m271
79,m272,m272
79,m273,m273
80,m274,m274
80,m275,m275
81,m276,m276
81,m277,m277
82,m278,m278
82,m279,m279
83,m280,m280
83,m281,m281
84,m282,m282
84,m283,m283
85,m284,m284
85,m285,m285
86,m286,m286
86,m287,m287
87,m288,m288
87,m289,m289
88,m290,m290
88,m291,m291
89,m292,m292
89,m293,m293
90,m294,m294
90,m295,m295
91,m296,m296
91,m297,m297
92,m298,m298
92,m299,m299
93,m300,m300
93,m301,m301
94,m302,m302
94,m303,m303
95,m304,m304
95,m305,m305
96,m306,m306
96,m307,m307
98,m308,m308
98,m309,m309
99,m310,m310
99,m311,m311
141,m312,m312
141,m313,m313
150,m314,m314
150,m315,m315
159,m316,m316
159,m317,m317
7,m318,m318
7,m319,m319
